sentence,label,split,len,twenty,fifty
Public services will also be available .,1,"['Public', 'services', 'will', 'also', 'be', 'available', '.']",7,2,4
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,1,"['The', 'new', 'plant', 'is', 'planned', 'to', 'have', 'an', 'electricity', 'generation', 'capacity', 'of', 'up', 'to', '350', 'megawatts', '(', 'MW', ')', 'and', 'the', 'same', 'heat', 'generation', 'capacity', '.']",26,6,13
Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,2,"['Finnish', 'construction', 'group', 'Lemmink+ñinen', 'has', 'been', 'awarded', 'two', 'road', 'building', 'contracts', 'by', 'the', 'Lithuanian', 'transport', 'administration', '.']",17,4,9
"Risto Raty , Tekla 's executive vice president , said that Tekla Structures and ArchiCAD will cover the entire design and documentation workflow throughout a construction project .",1,"['Risto', 'Raty', ',', 'Tekla', ""'s"", 'executive', 'vice', 'president', ',', 'said', 'that', 'Tekla', 'Structures', 'and', 'ArchiCAD', 'will', 'cover', 'the', 'entire', 'design', 'and', 'documentation', 'workflow', 'throughout', 'a', 'construction', 'project', '.']",28,6,14
Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,1,"['Rautaruukki', 'aims', 'to', 'find', 'work', 'from', 'the', 'group', ""'s"", 'other', 'locations', 'for', 'those', 'who', 'have', 'been', 'made', 'redundant', '.']",19,4,10
"Marubeni has participated in GHG - Green House Gas - emission reduction projects overseas , obtained emissions credit from its projects and has provided these to Japanese clients .",1,"['Marubeni', 'has', 'participated', 'in', 'GHG', '-', 'Green', 'House', 'Gas', '-', 'emission', 'reduction', 'projects', 'overseas', ',', 'obtained', 'emissions', 'credit', 'from', 'its', 'projects', 'and', 'has', 'provided', 'these', 'to', 'Japanese', 'clients', '.']",29,6,15
"Furthermore , Novator Finland Oy has entered into a securities lending agreement , whereby Novator Finland Oy will hold directly the same amount of shares that are underlying of the OMX market forwards from May 23 through May 26 , 2008 .",2,"['Furthermore', ',', 'Novator', 'Finland', 'Oy', 'has', 'entered', 'into', 'a', 'securities', 'lending', 'agreement', ',', 'whereby', 'Novator', 'Finland', 'Oy', 'will', 'hold', 'directly', 'the', 'same', 'amount', 'of', 'shares', 'that', 'are', 'underlying', 'of', 'the', 'OMX', 'market', 'forwards', 'from', 'May', '23', 'through', 'May', '26', ',', '2008', '.']",42,9,21
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",1,"['Yara', 'Suomi', 'Ltd', 'also', 'provides', 'nitrogen', 'chemicals', 'and', 'technical', 'nitrates', 'to', 'various', 'sectors', 'of', 'industry', ',', 'as', 'well', 'as', 'products', 'used', 'in', 'environmental', 'protection', '.']",25,5,13
"Helsingin Uutiset , Vantaan Sanomat and Lansivayla reach some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .",2,"['Helsingin', 'Uutiset', ',', 'Vantaan', 'Sanomat', 'and', 'Lansivayla', 'reach', 'some', '385,000', 'readers', ',', 'or', 'more', 'than', '40', '%', 'of', 'the', 'consumers', 'in', 'the', 'greater', 'Helsinki', 'region', '.']",26,6,13
"Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) .",1,"['Finnish', 'investor', 'Scanfil', 'Oyj', '(', 'HEL', ':', 'SCF1V', ')', 'said', 'last', 'Friday', 'it', 'has', 'bought', '57', 'million', 'shares', ',', 'or', '32.96', '%', ',', 'in', 'Norwegian', 'contract', 'electronics', 'manufacturer', 'Kitron', 'ASA', '(', 'OSL', ':', 'KIT', ')', 'for', 'NOK', '143.9', 'million', '(', 'USD', '24.4', 'm-EUR', '18.1', 'm', ')', '.']",47,10,24
"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",1,"['The', 'sale', 'will', 'allow', 'Campofrio', 'to', 'focus', 'on', 'its', 'recently', 'announced', 'takeover', 'of', 'Groupe', 'Smithfield', 'Holdings', ',', 'the', 'European', 'unit', 'of', 'Smithfield', 'Foods', 'Inc.', '(', 'SFD', ')', 'of', 'the', 'U.S.']",30,6,15
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2,"['Both', 'operating', 'profit', 'and', 'net', 'sales', 'for', 'the', 'six-month', 'period', 'increased', ',', 'respectively', ',', 'from', 'EUR13', '.8', 'm', 'and', 'EUR143', '.6', 'm', ',', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in', '2007', '.']",32,7,16
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,1,"['Latvia', ""'s"", 'Stockmann', 'shopping', 'mall', 'is', 'a', 'subsidiary', 'of', 'Finland', ""'s"", 'Stockmann', 'Plc.', '.']",14,3,7
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,2,"['Finnish', 'fibers', 'and', 'plastic', 'products', 'maker', 'Suominen', 'Corporation', 'said', 'its', 'net', 'loss', 'from', 'continuing', 'operations', 'narrowed', 'to', '1.8', 'mln', 'euro', '(', '$', '2.3', 'mln', ')', 'in', '2006', 'from', '3.7', 'mln', 'euro', '(', '$', '4.8', 'mln', ')', 'in', '2005', '.']",39,8,20
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",0,"['Finnish', 'plumbing', 'and', 'heating', 'systems', 'supplier', 'Uponor', ""'s"", 'net', 'sales', 'in', 'continuing', 'business', 'operations', 'decreased', 'to', 'EUR', '249.1', 'mn', 'in', 'July-September', '2008', ',', 'compared', 'to', 'EUR', '262.1', 'mn', 'in', 'the', 'third', 'quarter', 'of', '2007', '.']",35,7,18
"Mr. Mika Korpinen , APAC Vice President for Comptel concludes : `` Comptel is once again demonstrating the importance of providing reliable delivery and enabling time-to-market .",1,"['Mr.', 'Mika', 'Korpinen', ',', 'APAC', 'Vice', 'President', 'for', 'Comptel', 'concludes', ':', '``', 'Comptel', 'is', 'once', 'again', 'demonstrating', 'the', 'importance', 'of', 'providing', 'reliable', 'delivery', 'and', 'enabling', 'time-to-market', '.']",27,6,14
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",1,"['An', '', 'of', 'the', 'invention', ',', 'released', 'by', 'the', 'Patent', 'Office', ',', 'said', ':', '``', 'The', 'chambers', 'are', 'pressurized', '.']",20,4,10
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,1,"['Mr', 'K.R.', 'Vasantha', 'has', 'been', 'appointed', 'Managing', 'Director', 'of', 'Incap', 'Contract', 'Manufacturing', 'Services', 'Pvt.', 'Ltd.', '.']",16,4,8
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",1,"['L&T', 'is', 'operative', 'in', 'Finland', ',', 'Sweden', ',', 'Latvia', ',', 'Russia', 'and', 'Norway', '.']",14,3,7
"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .",2,"['ADP', 'News', '-', 'Nov', '18', ',', '2008', '-', 'Finnish', 'AC', 'drives', 'manufacturer', 'Vacon', 'Oyj', 'OMX', ':', 'VAC1V', 'said', 'today', 'that', 'it', 'had', 'set', 'up', 'new', 'representative', 'offices', 'in', 'Romania', 'and', 'Ukraine', 'to', 'serve', 'the', 'growing', 'markets', 'in', 'eastern', 'and', 'southeastern', 'Europe', '.']",42,9,21
"First Industrial will seek LEED designation for Uponor 's new building and a 282,000 square-foot speculative distribution center at First Park Lakeville .",1,"['First', 'Industrial', 'will', 'seek', 'LEED', 'designation', 'for', 'Uponor', ""'s"", 'new', 'building', 'and', 'a', '282,000', 'square-foot', 'speculative', 'distribution', 'center', 'at', 'First', 'Park', 'Lakeville', '.']",23,5,12
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2,"['Operating', 'profit', 'totalled', 'EUR', '21.1', 'mn', ',', 'up', 'from', 'EUR', '18.6', 'mn', 'in', '2007', ',', 'representing', '9.7', '%', 'of', 'net', 'sales', '.']",22,5,11
The deal includes an option for Cramo to buy out the minority stake in 2011 .,1,"['The', 'deal', 'includes', 'an', 'option', 'for', 'Cramo', 'to', 'buy', 'out', 'the', 'minority', 'stake', 'in', '2011', '.']",16,4,8
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",1,"['The', 'inaugural', 'speech', 'will', 'be', 'given', 'by', 'Hannu', 'Kyrolainen', ',', 'Finland', ""'s"", 'Ambassador', 'to', 'the', 'Czech', 'Republic', '.']",18,4,9
"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .",2,"['Raisio', ""'s"", 'bid', 'to', 'buy', 'Glisten', 'is', 'a', '``', 'win-win', ""''"", 'deal', 'for', 'both', 'companies', ',', 'the', 'chairman', 'of', 'the', 'UK', 'snacks', 'firm', 'told', 'just-food', 'today', '10', 'February', '.']",29,6,15
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",2,"['Both', 'operating', 'profit', 'and', 'net', 'sales', 'for', 'the', 'six-month', 'period', 'increased', ',', 'respectively', 'from', 'EUR7', '.5', 'm', 'and', 'EUR655', '.5', 'm', ',', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in', '2005', '.']",31,7,16
"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",2,"['In', 'contrast', ',', 'the', 'company', ""'s"", 'net', 'loss', 'for', 'the', 'third', 'quarter', 'of', '2009', 'contracted', 'to', 'EUR', '76', 'million', 'from', 'EUR', '256', 'million', 'for', 'the', 'corresponding', 'period', 'a', 'year', 'ago', '.']",31,7,16
`` Management decided at the end of 2005 to increase cathode copper capacity .,1,"['``', 'Management', 'decided', 'at', 'the', 'end', 'of', '2005', 'to', 'increase', 'cathode', 'copper', 'capacity', '.']",14,3,7
"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said .",2,"['The', 'company', 'estimates', 'that', 'the', 'trend', 'in', 'demand', 'for', 'sports', 'equipment', 'will', 'be', 'steady', 'in', '2006', ',', ""''"", 'Amer', ""'s"", 'report', 'said', '.']",23,5,12
The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,2,"['The', 'aim', 'is', 'to', 'convert', 'the', 'plants', 'into', 'flexible', 'manufacturers', 'of', 'new', 'and', 'technologically', 'demanding', 'products', '.']",17,4,9
com and possibly also through photo-msn .,1,"['com', 'and', 'possibly', 'also', 'through', 'photo-msn', '.']",7,2,4
"Renzo Piano 's building design will be a wonderful addition to London 's skyline , '' says Noud Veeger , EVP and Area Director for Central and North Europe at KONE .",2,"['Renzo', 'Piano', ""'s"", 'building', 'design', 'will', 'be', 'a', 'wonderful', 'addition', 'to', 'London', ""'s"", 'skyline', ',', ""''"", 'says', 'Noud', 'Veeger', ',', 'EVP', 'and', 'Area', 'Director', 'for', 'Central', 'and', 'North', 'Europe', 'at', 'KONE', '.']",32,7,16
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,1,"['Pharmaceutical', 'market', 'in', 'Italy', 'Global', 'Research', '&', 'Data', 'Services', 'published', 'recently', 'a', 'market', 'analysis', 'about', 'the', 'pharmaceutical', 'markets', 'in', 'Italy', '.']",21,5,11
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2,"['Biohit', 'already', 'services', 'many', 'current', 'Genesis', 'customers', 'and', 'the', 'customer', 'base', 'is', 'expected', 'to', 'expand', 'as', 'a', 'result', 'of', 'this', 'agreement', '.']",22,5,11
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",2,"['4', 'February', '2011', '-', 'Finnish', 'broadband', 'data', 'communication', 'systems', 'provider', 'Teleste', 'Oyj', 'HEL', ':', 'TLT1V', 'said', 'Wednesday', 'its', 'net', 'profit', 'rocketed', 'to', 'EUR4', '.8', 'm', 'in', '2010', 'from', 'EUR416', ',000', 'in', '2009', 'and', 'it', 'lifted', 'its', 'dividend', 'proposal', '.']",39,8,20
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",2,"['Cost', 'cutting', 'measures', ',', 'which', 'have', 'produced', 'around', 'EUR70m', 'of', 'savings', 'over', 'the', 'past', 'nine', 'months', ',', 'have', 'dampened', 'the', 'airline', ""'s"", 'loss', ',', 'Finnair', 'said', '.']",27,6,14
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",2,"['It', 'projected', 'revenue', 'of', '$', '2.2', 'billion', 'to', '$', '2.3', 'billion', ',', 'slightly', 'higher', 'than', 'analyst', 'estimates', 'of', '$', '2.19', 'billion', '.']",22,5,11
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) reported on Thursday ( 6 November ) an operating loss of EUR1 .3 m on net sales of EUR11 .9 m for the period January to September 2008 .,1,"['Finnish', 'automation', 'solutions', 'developer', 'Cencorp', 'Corporation', '(', 'OMX', 'Helsinki', ':', 'CNC1V', ')', 'reported', 'on', 'Thursday', '(', '6', 'November', ')', 'an', 'operating', 'loss', 'of', 'EUR1', '.3', 'm', 'on', 'net', 'sales', 'of', 'EUR11', '.9', 'm', 'for', 'the', 'period', 'January', 'to', 'September', '2008', '.']",41,9,21
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",2,"['For', 'the', 'full', '2010', 'the', 'company', 'expects', 'its', 'net', 'sales', 'and', 'operating', 'result', 'to', 'improve', 'from', 'the', 'previous', 'year', ',', 'saying', 'that', 'a', 'positive', 'operating', 'result', 'and', 'its', 'amount', 'will', 'depend', 'on', 'the', 'order', 'intake', 'by', 'the', 'end', 'of', 'the', 'summer', '.']",42,9,21
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",2,"['Thanksto', 'improvements', 'in', 'demand', 'and', 'the', 'adjustments', 'we', 'have', 'made', ',', 'theutilization', 'rates', 'of', 'Cramo', ""'s"", 'fleet', 'have', 'substantiallyimproved', '.', ""''""]",21,5,11
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,2,"['Altia', ""'s"", 'operating', 'profit', 'jumped', 'to', 'EUR', '47', 'million', 'from', 'EUR', '6.6', 'million', '.']",14,3,7
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",1,"['Motorola', 'Inc.', 'of', 'the', 'United', 'States', 'came', 'second', 'with', 'shipments', 'of', '217.4', 'million', 'units', 'for', 'a', '21.3', 'percent', 'market', 'share', ',', 'followed', 'by', 'South', 'Korea', ""'s"", 'Samsung', 'Electronics', 'Co.', 'with', 'shipments', 'of', '118.0', 'million', 'units', 'for', 'an', '11.6', 'percent', 'share', '.']",41,9,21
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",2,"['For', 'the', 'first', 'nine', 'months', 'of', '2010', ',', 'Talvivaara', ""'s"", 'net', 'loss', 'narrowed', 'to', 'EUR', '8.3', 'million', 'from', 'EUR', '21.9', 'million', 'for', 'the', 'same', 'period', 'of', '2009', '.']",28,6,14
A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,2,"['A', '&', 'euro', ';', '4.8', 'million', 'investment', 'in', '13.6', '%', 'of', 'Lewa', 'netted', 'Deutsche', 'Beteiligungs', '&', 'euro', ';', '21', 'million', '.']",21,5,11
Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,1,"['Efore', 'has', 'decided', 'to', 'establish', 'a', 'company', 'for', 'eletric', 'vehicle', '(', 'EV', ')', 'business', 'in', 'China', '.']",17,4,9
"One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities .",1,"['One', 'can', 'even', 'receive', 'on', 'the', 'spot', 'alerts', 'as', 'soon', 'as', 'jobs', 'are', 'posted', ',', 'putting', 'you', 'at', 'the', 'front', 'of', 'the', 'queue', 'for', 'opportunities', '.']",26,6,13
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,2,"['It', 'also', 'said', 'its', 'third', 'quarter', 'diluted', 'EPS', 'came', 'in', 'at', '0.34', 'eur', 'compared', 'with', '0.16', 'eur', 'in', 'the', 'same', 'quarter', 'a', 'year', 'ago', '.']",25,5,13
E 's building system service had revenue of EUR 355 mln in 2007 .,1,"['E', ""'s"", 'building', 'system', 'service', 'had', 'revenue', 'of', 'EUR', '355', 'mln', 'in', '2007', '.']",14,3,7
"Cramo 's manager Jarmo Laasanen said hiring of equipment and machinery in Lithuania differs from the other Baltic countries in that in Lithuania still many public structures such as roads , bridges , airports and shops are being built .",1,"['Cramo', ""'s"", 'manager', 'Jarmo', 'Laasanen', 'said', 'hiring', 'of', 'equipment', 'and', 'machinery', 'in', 'Lithuania', 'differs', 'from', 'the', 'other', 'Baltic', 'countries', 'in', 'that', 'in', 'Lithuania', 'still', 'many', 'public', 'structures', 'such', 'as', 'roads', ',', 'bridges', ',', 'airports', 'and', 'shops', 'are', 'being', 'built', '.']",40,8,20
"However , the brokers ' ratings on the stock differ .",1,"['However', ',', 'the', 'brokers', ""'"", 'ratings', 'on', 'the', 'stock', 'differ', '.']",11,3,6
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2,"['The', 'major', 'breweries', 'increased', 'their', 'domestic', 'beer', 'sales', 'by', '4.5', 'per', 'cent', 'last', 'year', ',', 'to', '256.88', 'million', 'litres', 'from', '245.92', 'million', 'litres', 'in', '2004', '.']",26,6,13
"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",1,"['Janno', 'Reiljan', ',', 'a', 'member', 'of', 'the', 'Eesti', 'Energia', 'supervisory', 'board', ',', 'said', 'the', 'owners', 'of', 'Narva', 'Power', 'Grid', 'had', 'informed', 'Eesti', 'Energia', 'about', 'their', 'wish', 'to', 'sell', '.']",29,6,15
"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .",1,"['It', 'also', 'includes', 'the', 'installation', 'of', 'new', 'equipment', ',', 'training', 'and', 'start-up', 'services', ',', 'as', 'well', 'as', 'service', 'work', 'of', 'the', 'shoe', 'press', 'delivered', 'by', 'Vaahto', 'in', '2001', '.']",29,6,15
No pricing details were disclosed .,1,"['No', 'pricing', 'details', 'were', 'disclosed', '.']",6,2,3
"The segment has an annual revenue of approximately EUR400m , the company said .",1,"['The', 'segment', 'has', 'an', 'annual', 'revenue', 'of', 'approximately', 'EUR400m', ',', 'the', 'company', 'said', '.']",14,3,7
"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",1,"['From', '2003', 'on', ',', 'the', 'emphasis', 'of', 'Kyro', ""'s"", 'strategy', 'has', 'been', 'on', 'Glaston', ""'s"", 'growth', '.']",17,4,9
"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",1,"['Target', 'company', ':', 'Tieto', 'Corporation', ',', 'Business', 'Identity', 'Code', ':', '0101138-5', 'Date', 'of', 'change', 'in', 'holding', ':', '22', 'January', '2010', 'Portion', 'of', 'the', 'shares', 'and', 'votes', ':', 'The', 'current', 'group', 'holding', 'of', 'OP-Pohjola', 'Group', 'Central', 'Cooperative', '(', 'OPK', ')', 'is', '2982', '587', 'shares', ',', 'which', 'represents', '4.14', '%', 'of', 'the', 'shares', 'and', 'voting', 'rights', '.']",55,11,28
"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",1,"['Nokia', 'said', 'it', 'still', 'expects', 'to', 'sell', '150', 'more', 'million', 'Symbian', 'devices', 'in', 'years', 'to', 'come', ',', 'giving', 'an', 'indication', 'of', 'how', 'it', 'expects', 'the', 'Phone', '7', 'handoff', 'to', 'work', '.']",31,7,16
Juha-Pekka Weckstr+Âm has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,1,"['Juha-Pekka', 'Weckstr+Âm', 'has', 'been', 'appointed', 'President', 'of', 'telecom', 'group', 'TeliaSonera', 'Finland', 'to', 'succeed', 'Esa', 'Rautalinko', '.']",16,4,8
Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,2,"['Finnish', 'sports', 'equipment', 'maker', 'Amer', 'Sports', 'Oyj', '(', 'HEL', ':', 'AMEAS', ')', 'said', 'today', 'that', 'its', 'net', 'loss', 'narrowed', 'to', 'EUR', '16.9', 'million', '(', 'USD', '22.3', 'm', ')', 'in', 'the', 'second', 'quarter', 'of', '2010', 'from', 'EUR', '23.2', 'million', 'in', 'the', 'corresponding', 'period', 'a', 'year', 'earlier', '.']",46,10,23
"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia .",1,"['Water', 'Treatment', 'Products', 'In', 'Australia', 'Today', ',', 'Global', 'Research', '&', 'Data', 'Services', 'is', 'going', 'to', 'publish', 'a', 'market', 'analysis', 'about', 'the', 'market', 'for', 'chemical', 'water', 'treatment', 'products', 'in', 'Australia', '.']",30,6,15
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,1,"['Suomen', 'Paikallissanomat', 'Oy', 'is', 'part', 'of', 'Alma', 'Media', 'Group', 'and', 'it', 'currently', 'publishes', '15', 'local', 'newspapers', 'across', 'Finland', '.']",19,4,10
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",1,"['Because', 'expenditures', 'must', 'be', 'justified', 'to', 'pass', 'budget', 'approval', 'hurdles', ',', 'we', 'believe', 'our', 'RoP', 'model', 'can', 'help', 'make', 'it', 'easier', 'for', 'IT', 'and', 'IT', 'security', 'practitioners', 'to', 'make', 'the', 'business', 'case', 'for', 'acquiring', 'enabling', 'security', 'technologies', 'and', 'related', 'control', 'activities', '.']",42,9,21
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",1,"['Motorola', 'accounted', 'for', '11.5', 'percent', 'of', 'the', 'South', 'Korean', 'handset', 'market', 'as', 'of', 'the', 'end', 'of', 'April', ',', 'Samsung', 'held', '55', 'percent', 'and', 'LG', 'Electronics', '19', 'percent', ',', 'according', 'to', 'Korea-based', 'ATLAS', 'Research', 'Group', '.']",35,7,18
"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .",1,"['The', 'Russian', 'gas', 'giant', 'invested', 'another', '46', 'million', 'litas', 'in', 'the', 'company', 'in', 'late', '2004', 'and', 'now', 'owns', '99.5', 'percent', 'of', 'its', 'stock', 'capital', ',', 'which', 'amounts', 'to', '86.936', 'million', 'litas', '.']",32,7,16
"The buildings , with about 40 condominiums each , will be built in 4 or 5 stages .",1,"['The', 'buildings', ',', 'with', 'about', '40', 'condominiums', 'each', ',', 'will', 'be', 'built', 'in', '4', 'or', '5', 'stages', '.']",18,4,9
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,1,"['Implementation', 'of', 'the', 'project', 'will', 'be', 'carried', 'out', 'by', 'the', 'Finnish', 'company', 'YIT', 'in', 'association', 'with', 'the', 'investment', 'fund', 'Evli', 'Property', 'Investment', 'Russia', '(', 'EPI', ')', '.']",27,6,14
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",1,"['In', '2007', 'Talentum', 'will', 'disclose', 'three', 'Interim', 'Reports', '-', 'Q1', '(', 'January', '-', 'March', ')', 'on', 'Friday', ',', '27', 'April', ',', '2007', '-', 'Q2', '(', 'April', '-', 'June', ')', 'on', 'Friday', ',', '20', 'July', ',', '2007', '-', 'Q3', '(', 'July', '-', 'September', ')', 'on', 'Friday', ',', '26', 'October', ',', '2007', '.']",51,11,26
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,0,"['Finnish', 'investment', 'group', 'Norvestia', 'Oyj', 'said', 'its', 'net', 'profit', 'fell', 'to', '23.5', 'mln', 'euro', '$', '30.6', 'mln', 'in', '2006', 'from', '33.5', 'mln', 'euro', '$', '43.6', 'mln', 'in', '2005', '.']",29,6,15
Managing Director Timo Kohtam+ñki of Lemmink+ñinen Infra nevertheless points out the continued need for infrastructure construction in the Baltic markets .,1,"['Managing', 'Director', 'Timo', 'Kohtam+ñki', 'of', 'Lemmink+ñinen', 'Infra', 'nevertheless', 'points', 'out', 'the', 'continued', 'need', 'for', 'infrastructure', 'construction', 'in', 'the', 'Baltic', 'markets', '.']",21,5,11
Net sales dropped by 6 % year-on-year to EUR 11.9 million .,0,"['Net', 'sales', 'dropped', 'by', '6', '%', 'year-on-year', 'to', 'EUR', '11.9', 'million', '.']",12,3,6
Net profit in the same period in 2006 was 36.6 million euros .,1,"['Net', 'profit', 'in', 'the', 'same', 'period', 'in', '2006', 'was', '36.6', 'million', 'euros', '.']",13,3,7
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,1,"['Mr.', 'Koistinen', 'joins', 'from', 'Nokia', 'Siemens', 'Networks', 'where', 'he', 'has', 'held', 'various', 'senior', 'sales', 'management', 'and', 'business', 'development', 'positions', 'since', '1997', '.']",22,5,11
"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",1,"['YIT', 'acquired', 'investment', 'rights', 'to', 'a', '10,000', 'square', 'metre', 'residential', 'project', 'in', 'Yaroslavl', 'and', 'to', 'a', '16,400', 'square', 'metre', 'project', 'in', 'Moscow', '.']",23,5,12
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,1,"['The', 'total', 'value', 'of', 'the', 'project', 'is', 'valued', 'at', 'SEK', '30bn', '(', 'EUR', '2.83', 'bn', 'USD', '3.81', 'bn', ')', '.']",20,4,10
