sentences,label
"$gild sandbagged the guidance so the can use that last 3 billion up.  cc was cautiously optimistic, wait til next er for confirmation",-0.083
end of day scan: stochastic overbought $jdst $free $blrx $lpg $afsi $dvax $hdge $aht $alr $asmb  www.dailystockplays.com,-0.385
$yang double bottom 5.2,0.23
$hyg potential continuation uptrend on a 60'-15'-4' charts http://stks.co/t1qp6,0.437
$cytx looks like an ascending channel on finfiz http://stks.co/f26r4,0.363
$aapl now i'm glad i got stopped out of my $113 weeklies when i did. will re-enter next monday for the #earnings run-up.,0.089
"$wfm bought a little yesterday, hoping for an earnings pop.",0.562
eur/usd finding support near 1.10 level $ero $uup $udn $fxe  http://stks.co/b29eu,0.259
$ibio  up 10% in premarket ready for lift off,0.507
"recap: $msft rumor this morning had them spinning off xbox unit, stock grinds up all day to close on highs",0.594
"$aapl aapl finally breaking under the 49 m.a.. with no buybacks this week, look for aapl to test the 120 support area.",-0.2
"$dgi technical alerts: gilligan's island buy setup, stochastic buy signal, lizard bullish, hammer candlestick, wid... http://stks.co/c29nu",0.564
$luv continues to consolidate above previous break out area...,0.227
$ren bottoming out again.. good time to buy,0.587
$googl hit with lawsuit from russian search engine $yndx http://stks.co/b1kd8,-0.17
$aapl at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,-0.238
$gale breakout coming soon!,0.465
"$russ don't catch falling knives, but i think an entry is coming soon on this",0.1
$aapl $131 rally mode,0.5
$mpwr ceo sells 450k april 15th..meh,-0.195
"homebuilders - $ryl breaking below support, watch this one.  $spy",-0.397
$aapl afternoon selloff as usual will be brutal. get ready to lose a ton of money.,-0.569
$amzn going thru the roof needs a sell!,0.441
"$esi on lows, down $1.50 to $2.50 bk a real possibility",-0.465
short on $atvi from 24.55.,-0.745
end of day scan: bullish ma  crossovers $bbva $pds $ntls $ngl $sbrcy $fgl $mtnoy $ttt  www.dailystockplays.com,0.457
"@louiebeene vwap is 1.63, held the trend line. should be on a lot of radars. $navb",0.325
$neon oversold,0.43
"$ssys just re-tested lows . should rise steadily from here. it hit $81 just 21 trading days ago, and $130.86 on sept 18. it'll do it again.",0.395
"$kndi break that hod on volume, and we have a nice consolidation completed for another run.",0.602
$inve : see ya above $8,0.502
$bxs: bancorpsouth announces extension of merger agreements with ... http://stks.co/s2pdf,0.348
"maglan capital up +20.84% in february, long fairpoint  http://stks.co/s1eqc $$ $frp",0.559
exact (exas) flagged as strong on high volume $exas http://stks.co/r26ra,0.385
$bioc rsi extremely in long's favor looking at bioc historically.,0.503
$tnh looks like an explosive setup if it can break the 20ema and 105 level http://stks.co/b1svh,0.348
$vmw  got a nice push today following small sweepers of may c this morning,0.28
$ddd 3d systems (ddd) stock receives ratings downgrade today at jefferies http://stks.co/g1cqd,-0.501
$aapl dips being bought up real quick. higher lows fo sho,0.249
long $x 24.62,0.601
$nke gapping up to all time highs http://stks.co/q1jau #tradeideas http://stks.co/r1j6c,0.782
@intuitiv $clne gasoline prices spike in california. http://stks.co/t1boi,0.46
espn files lawsuit against verizon - http://stks.co/i2cj1 $vz,-0.346
$avgo great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2f3h,0.597
"$rxii tang really is toxic, they keep bringing the share price down. at least they could let it climb a little before dragging it down.",-0.507
$aapl near a 3% drop thats a lot... now the best i can do is hold er lol,-0.304
$hcp come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0.52
"$onty continues to base as debate lingers. ont-10 data next potential catalyst. if positive, stock quickly moves to $10. downside limited.",0.3
$spy looks like bear traps getting laid faster than cadbury creme eggs by the easter bunny,0.351
$bbry sierra. has a great cash balance and impressive growth rate.would be a wonderful marriage!,0.493
$iwm same conditions that sent markets to tumble all hitting this week,-0.236
$crk time to accumulate for a long position with far more upside than downside,0.668
$bwld bearish engulfing candle,-0.532
for @vnoto74 to follow:  after a sell signal by $ndx internals [06/23] ~> technical sell $qqq [06/25] ~> down,-0.541
$awr standard & poor's affirms 'a+' credit rating at american states water company and golden state water company http://stks.co/f2p94,0.526
$free ha heeeeeere comes the pump! so glad i picked up 9k end of day! get ready for the bull ride!,0.538
$nuan held up well after the big gains! maybe we're finally on the move on this!!its still very undervalued and has major upside,0.695
why $mcd looks set to fall further. http://stks.co/f2fgj,-0.545
@technik i still have a smaller $gild pos. being very tender with cash due to volatility. so reluctant to keep many big positions.,0.153
$fb bot some @78.47 breakout from the consolidation zone :d,0.724
$xli potential intermediate top in an uptrend on a 60'-15'-4' charts http://stks.co/j1tdf,0.126
$twtr sad the only thing to move this is a takeover rumor only to be sold off next day !,-0.278
"$vrtx vertex. monthly -lower hi/lower lo,  long term uptrend intract so far",0.368
$gevo plunging!  back to $3.55.,-0.628
energy still failing to close above the 10d ma.  continues to stand out weak $xle,-0.517
$enb.ca {head&shoulders} bullish reversal setup and breakout. oil and gas pipleline stock. $uso,0.253
"$imrs - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",0.4
micron shares pounded on fears of loss of business from apple; stifel defends $aapl $mu http://stks.co/t1z8t @marjo,-0.596
"$chkp abc bullish pattern, targets https://t.co/uvmmrsr5zy",0.496
$tsla is now up 57% from its february low. amazing rebound.,0.582
$sbux downgraded to neutral at deutsche bank. price target reduced to $64 from $70.,-0.446
"micron technology inc #nasdaq: $mu down 2.3% today and down 8.9% since being put on ""the short"" https://t.co/eqqltfuiou",-0.469
$yhoo about to break out on the 5-min...,0.313
$gild 91 now support. $ibb $bib https://t.co/gioof6zbkv,0.188
$fb down 7.5% from this #bearish pattern.  considering the #bullish sentiment - that's an impressive bearish move https://t.co/tajf0ch2qh,-0.39
$save long. https://t.co/yejus9cmlc,0.388
@mugatushair now it is time to short $tsla,-0.385
$cost costco less than stellar day but it held the 50 day moving average,-0.14
"$agn and $pypl under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xg5w8nont",0.014
costco: a premier retail dividend play https://t.co/fa5cnh2t0t $cost,0.354
$intc finally some nice downside move... looking for the 31 handle to break,-0.462
"$yhoo fishy action. new party interested (dailymail) bounce & retreats. not short by any means, but action questions big up move. thoughts?",-0.043
"sheryl sandberg sells 109,000 shares of facebook inc $fb stock https://t.co/3vxt7amnpk via @ratingsnetwork",-0.186
amazon has been selling surveillance cameras infected with malware $amzn #amazon  https://t.co/tohleq8fk6 https://t.co/5pr4cbtvvy,-0.186
"$tsla 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",0.4
baird upgrades tesla motors $tsla to outperform https://t.co/1fa6atoqlw,0.52
$ilmn piper jeffries raises pt.  i remain long,0.467
"@hopeturock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $yhoo",0.234
i don't see it. 200 day sma is the big hurdle. there is a good base building. $nflx  https://t.co/imkygo2cyc,0.228
daily mail parent company in talks with potential partners about joint bid for yahoo's internet assets: https://t.co/mk7memtadt $yhoo,0.228
expecting  $spy to close above 205.20 $aapl,0.385
"$fb trending nicely, intraday.",0.404
starbucks' digital strategy to drive significant growth with customer loyalty $sbux https://t.co/xk6lz3ui3k,0.388
"$qcom chart: qualcomm short 61.8% retracement, trendline and resistance. https://t.co/2wqqh35koy",-0.371
"$intu is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dr5banun2u",0.229
"$tsla steaming up again, this stock is relentless at the moment",0.535
.@barronsonline sees #apple at $150/share in a year (+36% from today) on growing services business. $aapl https://t.co/3bdnekn7l1,0.408
adobe receives new rating from top analyst $adbe https://t.co/ljnxpevhzn,0.141
activision blizzard media networks announces record #esports viewership https://t.co/729biqlbtk $atvi partnered with $hdsi for 9 #tournament,0.208
"also, bmo had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",0.574
@rec_zakaria monday bulls are out! stock ticker- michael james ent. other picks $sbux $gvp $nke,0.457
#tesla: model x recall adds to reliability issues $tsla https://t.co/jvxq4doxnp,-0.267
microsoft joins the open-source eclipse foundation https://t.co/z8g5czakeu focus on collaboration & open business is a smart strategy! $msft,0.26
"sudden optimism about iphone sales (i.e., not as bad as expected) gives apple $aapl a lift.  https://t.co/oktcw4yib5",0.279
$nflx +1% $104.80 long streaming services rapidly outpacing traditional cable,0.571
infection worries prompt regulatory reviews of gilead leukaemia drug $gild https://t.co/h9vqxpz15g via @yahoofinance,-0.401
preparing for a breakout trade in netflix $nflx  https://t.co/czhix3tuag $$ https://t.co/z1qb9xa4ld,0.358
"$ctrp just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8vxfuuit04",0.598
deutsche bank cuts $sbux,-0.539
"fastenal misses by $0.01, misses on revenue $fast #nyse https://t.co/63jhq7pwmn",-0.374
$tsla recall,-0.227
piper upgrades symantec on improving renewal rates and enterprise growth $symc,0.525
#fusioniq new positive timing signal on $sbux today https://t.co/9imlxz4yna please retweet #signals,0.341
#longpos $tsla 256 break-out thru 50 & 200- dma (197-230) upper head res (274-279) short squeeze in progress nr term obj: 310 stop loss:239,0.504
starbucks' digital strategy to drive significant growth with customer loyalty https://t.co/9q7ci79iyo $sbux,0.335
apple: another attempt to break out on apple but with weak pvt   $aapl #trading #investing #aapl https://t.co/dnh7hgv22v,0.138
$isrg break out confirmed. bought leaps. good trading!,0.36
"@sharkbiotech if anyone is selling/shorting $agn b/c you believe $endp rumors to be realistic, then i'll take the other side of that trade",0.422
$fb & $tsla cracking lower early. $short #correction #stocks,-0.511
today i bought more $mu $yhoo $vale $nbl $twtr $axp $znga https://t.co/vt6t5zp2is,0.248
hard to find new buyers of $tsla at 250.  shorts continue to pile in.,-0.373
"$amzn trades in mid to upper range. no break out yet, either direction",0.059
$tsla announces a recall and the stock doesn't sell off. this stock is teflon. won't last forever.,0.213
$nflx and $tsla making all kinds of gains 📈,0.42
"@traceyryniec not just energy, it's so broad. you will see it in wwg and kaman as well. i'd be short $fast",-0.625
$aapl goldman sachs reiterates conviction buy on apple with a $155 pt $spy $djia $gs https://t.co/h5hmxsitwm,0.335
tesla issues its first model x recall https://t.co/t1kmqvwhqq $tsla,-0.287
$endp being sued by ftc.....nobody will buy them with that hanging over their heads,-0.602
$tsla weakest in todays dt watchlist,-0.383
"$tsla on fire, what is that 6 up days in a row. someone neeeeds!! in",0.452
$gild chart: with $ibb back over support. https://t.co/gprz2ujfc4,0.362
"$kndi #china #electriccar maker. china car sales +7.8%. also, may feed off $tsla momentum run lately.",0.225
"took some $endp long this am, using vwap as guide",0.613
"maybe closing all those $aapl calls i had this morning was a bad idea, money left on the table...",0.501
$aapl weekly still under the 50 moving average and creating a lower high. https://t.co/vt7ppzy2uy,-0.215
"intuitive surgical $isrg is in a great financial position, take a look https://t.co/vahhjacbfg https://t.co/24hqtqx4ou",0.406
$nflx i say it's time to short at this point.,-0.489
$tsla upgraded to buy @ argus w/ $333 pt - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,0.349
$fb slight green... may be runner later,0.328
"$aapl stock climbs as barron's sees 40% upside, jim cramer's take  https://t.co/lkld9mvkbq",0.517
"tesla to recall 2,700 model x suvs over seat issue https://t.co/odpran59xq $tsla https://t.co/xvn4bliwpy https://t.co/thfvwtnrps",-0.31
juniper tumbles on q1 warning; cisco also lower $jnpr $csco https://t.co/bgvintk43h,-0.366
"$atvi ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",0.323
$ctrp  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,0.418
"78 users on vetr are bearish on tesla motors, inc., indicating a sell rating (2 stars) for $tsla https://t.co/vvpzqcxsnj",-0.485
4 beaten-down internet companies that may be ripe for a #takeover target: #twitter $twtr - #linkedin $lnkd - #yahoo! $yhoo - #groupon $grpn,0.129
"$stx long play, another consistent profit zone.. check it out https://t.co/dqfuzozylh https://t.co/ggne4ayzqn",0.48
"$fb trend, hits mid 110's and drops",-0.343
$pcln trying to break daily trend line! big move could happen https://t.co/gy0adb2jsq https://t.co/kpbbcgq2xy,0.485
$fb i've been dead on so far. such a bloated valuation. https://t.co/czcf8kbrlt,-0.536
$tsla recall model x https://t.co/b7izya4bue,-0.347
"$tsla recalls 2,700 model x vehicles; shares volatile https://t.co/tckqznmiqx #tsla #tech #stockmarket https://t.co/femhjtamqj",-0.336
breaking: tesla recalls all model x cars  .. details on show now $tsla,-0.308
"$qcom the indicator rsi is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcusqa",0.387
supermarket stocks rally as tesco plans to axe non-core uk assets $tsco https://t.co/bmvhcrwrea,0.248
$trip maintains neutral rating at jp morgan- pt cut $61 from $66,-0.019
why alphabet inc was just upgraded to buy https://t.co/devnlkhqtz $googl,0.465
@nasdboy i think the dnf crew can get this $nflx short into the next 30 days heading into earnings,-0.308
added more $bbby @jimcramer is wrong about this one. still a very profitable merchant with profitable stores,0.557
added long at friday close  $spy $labu $blue $amzn,0.513
"isolationism? another sell rating, sell ratings on spy, qqq, iwm and several companies https://t.co/j35fnnx744 $aapl #apple $axp $bac",-0.513
long $sdlp $cpgx $twtr $bita $labu $fb $tsla $ete $sdrl  autocharts @ https://t.co/nxlx1es7ny,0.488
costco: a premier retail dividend play https://t.co/j3uhts022m $cost,0.463
pivotal research upgrading $googl to buy.  https://t.co/lsahepdqhd    #stocktrading,0.512
most bullish stocks on twitter during this dip. $yhoo $gdx $googl $stz $gold $ew $vz $celg $sbux $scty more: https://t.co/iuzjelfwt3,0.408
$tsla <study the charts> pullback_time https://t.co/zmdg0fb3i7,-0.3
#tesla model s deliveries are up 35% in germany - record deliveries in march [chart] https://t.co/ycnclcbimv  $tsla,0.365
"last month we added to our $gild position and started a new one in $bwld we see slow, steady, unspectacular growth going forward near term",0.422
"$tsla lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",0.318
$amgn and #ucb announce positive top-line results from ph3 study evaluating romosozumab in men... https://t.co/4hboudr8b8 via @yahoofinance,0.47
sold some $tsla puts this morning closed them at the close. helps pay for monthly expenses,-0.043
windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #microsoft $msft,-0.49
$expe working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76dsjysyr0,0.536
"$endp exit reversal .11 x 3k shares = $330 - now long - not getting follow through, either side of price action",0.469
$ctrp not a bad long chart now that it's through sma100 resistance.,0.498
$endp was looking for a long entry but today's price action wasn't appealing,0.034
"$intc & $aapl strong, tech leads dow higher",0.588
$ctrp breaking out https://t.co/z2je3rtkch,0.364
$csx another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/ea4fbvuqgp,0.468
loading $spy and $aapl puts. think were toppy imho.,-0.537
bot $amzn 600 weekly calls here @ 5.93,0.659
$fb watching for bounce tomorrow,0.366
#fintech provider $cafn cachet financial solutions surging forward today post earnings up +13.26% https://t.co/9bj3csk2i9 $jkhy $fisv #momo,0.418
"really surprised by how much $fb has now fallen. thought there'd be some support around the 50d, but i guess not.",-0.334
$tsla bad day to short,0.45
"$tsla to recall 2,700 model x suvs for seat-belt fix",-0.235
5 best analyst rated stocks in last 72hrs: $orcl $aapl $cbs $ino $cpxx view all ratings here: https://t.co/irid6zd5gc,0.509
bought some more $celg as it is ready for a bounce.,0.628
analysts impressed with progress at tesla's flagship factory; co spent $1.6b on upgrades in '15 https://t.co/sabxcsn8cd by @tsrandall $tsla,0.474
"$celg back near 104, where it opened and rallied higher last wk. a good place to take a shot https://t.co/zwhthsvfsf",0.465
$amzn new hod with conviction keeping $570 on watch for resistance.,0.529
$fb  rejecting highs shortable...at 109,-0.387
"$csx is up today to report.  wall street is expecting eps to be at $0.37, and revenues at $2,732b.",0.461
$fb turns back down in early trading.... https://t.co/reuf5pzhbm,-0.393
followed the levels i shared with you on $nflx $googl $tsla calls for nice gains. still holding $fb 110 calls. week made in a morning.,0.471
"$fast $gww - daily sales slowing again, pretty timely coincident indicator https://t.co/m6bkhbkzk5",-0.105
"tesla motors recalls 2,700 model x suvs $tsla https://t.co/xdgraexkkz",-0.367
"siriusxm added 465,000 net new subscribers in the first quarter of 2016 $siri #ceo #sales #marketresearch #tech #entrepreneur #speaker",0.466
5-star analyst @brianwieser from pivotal research upgraded rating on $googl to buy. brian has a 79% success rate https://t.co/t0dn02eoh5,0.561
long $endp @ $26.23 on $agn b/o rumor,0.57
"you know that back seat? don't sit in it. - $tsla -> tesla recalls 2,700 model x cars https://t.co/7j0gwz89zc",-0.319
this $bbby stock options trade would have more than doubled your money https://t.co/oa0loirijl via @thestreet,0.294
x marks the recall: tesla recalls #modelx for faulty 3rd row seat. https://t.co/hsqdovry07 $tsla https://t.co/4cs3cnzebb,-0.26
$stx move off the bottom but still in bear market #datasecurity $emc $sndk $wdc https://t.co/vkydwpxesn,-0.421
$vrtx early technical buy signal... for confirmation > 86 it needs some fundam. incentive https://t.co/quysrqfo2x,0.464
$fb (110.20) is starting to show some relative strength and signs of potential b/o on the daily.,0.334
"@cgrantwsj i think this $tsla bubble might go on for some time. so long as ppl love the cars, they might keep getting funding.",0.424
$sbux heading for the 200dma and certain doom if it can not hold there.,-0.437
$amzn long into earnings. looks good over 600,0.613
$googl is a short below 740 into the upper bb and is overbought,-0.48
timberrrr $tsla https://t.co/mrbgfdhhva,-0.562
interest heats up for @yahoo $yhoo - the wall street journal  https://t.co/j5jvji9bia,0.413
"tesla recalling 2,700 model x units, related to faulty latch for third-row seats; fall to $252.50 level on recall, shares up 1%  $tsla",-0.385
commented on it's time to embrace dividend growth https://t.co/wc2qfp79tn $abbv $csco $wyn,0.284
word on the street is that allergen is looking at endo international after the failed pfizer merger. may-20 $35 calls active. $endp,0.472
$sbux inverted head & shoulders pattern in the works. bullish.,0.572
i see a 20 percent upside in $fb shares from here,0.589
long $aapl,0.648
$fb popping up to hod,0.446
$tsla yeah lets go down to 230s lol,-0.355
#ndx component tesla has announced it is recalling 2700 model x suvs. $tsla,-0.221
$yhoo making new hod,0.442
"daily mail owner considering yahoo bid $yhoo ,up 2,05% https://t.co/extzr1riyp",0.288
$pcln back to back intraday reversals look out below. shorts moving in!,-0.53
$pypl great vol flow trade here.. love this company long time.,0.408
$isrg pt raised to $700 from $640 at leerink - keeps outperform rated,0.489
long $tsla short $mbly https://t.co/jspuszo6na,0.607
"$tsla recalls 2,700 model x cars. stock dropping hard...",-0.626
$aapl - has broken its downtrend - but 200dma proving to be stiff resistance short term. https://t.co/vlzlgvihzv,0.222
"potential defect with third-row seat belts. tesla motors recalls 2,700 model x suvs $tsla https://t.co/yvydncdndi",-0.366
netflix grows efforts to create loyal customers $nflx https://t.co/5qxbkobphe,0.225
"tesla motors recalls 2,700 model x suvs $tsla https://t.co/f55dx4aegi",-0.307
$fb $aapl $nke $jwn bearish charts keep getting worse.,-0.619
"apple expected to launch new iphone, ipad today $aapl https://t.co/xfnicwebeg",0.264
$tsla stock gaining steam... plus other notable moves from this week: https://t.co/hz0wdp5za1,0.349
$gild  is expanding its research facilities...keeping up with the pace of innovation  https://t.co/uoe7fj4lop,0.297
"$endp - we saw a large order in this one last week, someone also accumulating may & jun 35's calls today",0.613
tripadvisor jumps on m&a rumors https://t.co/o4lwcdxmbr $trip,0.47
seat belt recall? who cares....  i'm a buyer $tsla,0.598
$fb gettin in the buy zone soon ;),0.361
starbucks downgraded on same day as new downgraded rewards program starts  $sbux,-0.46
"$adbe technical alerts: expansion breakout, gilligan's island sell setup, volume surge, and new 52... https://t.co/lxx66tknfh",0.208
"$aapl a new long if 110.61 is broken. targets are 112.19, 119.86 & 123.82. bears must retake 102.77. $qqq $nq_f $ndx https://t.co/6l3m1wxchw",0.172
thank you $goog (google alphabet) and $fb (facebook) stocks! what a nice reversal.,0.318
"tesla motors recalls 2,700 model x suvs https://t.co/bfws3dbm0u $tsla",-0.424
"$aapl bounces off support, it seems",0.443
deutsche bank downgrades starbucks because of new loyalty program https://t.co/iy4lcugabc $sbux,-0.436
$googl gets an upgrade price target $970,0.47
netapp downgraded by macquarie to underperform. $22.00 pt. https://t.co/xcngws0t4q $ntap #ntap via @ratingsnetwork,-0.574
"tesla is recalling 2,700 model x cars: https://t.co/8z7bkvstl9 $tsla",-0.291
$fb small long 109.25 via calls,0.352
commodity channel index indicator signaled a oversold for $fb #stockmarket https://t.co/vm32d3m9xi https://t.co/cvkojk05xn,0.324
"isolationism? another sell rating, sell ratings on spy, qqq, iwm and several companies https://t.co/6nkwecrba5 $aapl $axp $bac $blue $fxe",-0.389
alert: new rsi signal created on $cost - buy at 148.78 - time: 14:19 - strength: 10. powered by https://t.co/mhobzu3rmx,0.497
$sap q1 disappoints as #software licenses down. real problem? #cloud growth trails $msft $orcl $goog $crm $adbe https://t.co/jndphllzq5,-0.431
$fb gone green on day,0.476
"$amzn rejected that 604 to the penny. weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58teaexxpe",-0.229
$googl is setting up above its 50-day moving average. https://t.co/ttm9rnfoxj,0.516
$fb still a dog going much lower this week,-0.554
academics claim google android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/njx4mnrglo,-0.309
alert: new macd signal created on $ctxs - buy at 77.09 - time: 18:23 - strength: 10. powered by https://t.co/4tdgjedllz,0.49
$bac $adsk $nflx long this morning,0.476
locked in some $fb puts for nice gain,-0.524
3rd red day in a row ? $tsla,-0.43
just went long $ilmn,0.558
#apple up almost 20% from its february lows with very little fanfare. $aapl,0.431
$dish weakness continues again. 49.43 area resistance after last week,-0.41
$aapl iphone shipments on track to exceed forecasts - marketwatch https://t.co/2cxahjix7d,0.367
$cost short finally making gains. i will take half my gains at 147,-0.41
why $twtr is doomed in 1 chart $fb $goog  https://t.co/mpylireqjh https://t.co/nlczawdohp,-0.07
apple inc.: the rip-roaring rally is just beginning! (aapl) | investorplace $aapl https://t.co/jrcfc8xly9,0.559
"upside moves in the volatile #mining sector, sending anglo american plc $aal up 6.8% as of 4:30 pm, london time",0.462
"tesla: voluntary recall of 2,700 model x vehicles, due to back seat issue. $tsla https://t.co/npakc3u6gs",-0.327
@scottrade why is $tsla not available for shorting at this time?  same for $w?,-0.528
deutsche bank downgraded starbucks co. $sbux https://t.co/qqlevvwpmv https://t.co/f2pdqjutha,-0.611
coke dividend - 3%. google dividend - 0%. for passive income coke takes it. $goog $ko https://t.co/qbsowjxost,-0.066
juniper tumbles on q1 warning; cisco also lower https://t.co/n8x8bplj1e $jnpr $csco,-0.556
looking for a strong bounce $spy -- lunchtime rally coming. $dia $iwm $qqq $aa $fb,0.521
"dji overbought: $aapl, $axp, $ba, $cvx, $ibm, $intc, $vz https://t.co/wmy1pnomjf",-0.296
"baird likes $tsla - upgrades to outperform, lifts price target to $300. research firm also sees no capital raise necessary in next few qtrs",0.61
$tsla x recall not a big deal... the problem is now they will have an excuse to guide way way lower...,0.003
$tsla not dipping - testing the 200 day ma https://t.co/jeplmzqkgw,0.281
"on #fedday looking for a sharp move up in equities $aapl $hd $low $fb seeing $uvxy $tvix getting hammered, even though market is down.",0.368
$jd down 20% in after-hour market. anyone care to explain why?,-0.551
look at that $amzn > 600,0.326
yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/jdnzxdcmkl $yhoo https://t.co/hmoegfhgvn,0.391
starbucks shares down as much as ~4.2% $sbux https://t.co/jlgrprr54k,-0.383
$aapl beat the estimates. will still go down on lack of new products. https://t.co/sx3z7u6n8o,-0.248
long $aapl 107 calls @ .40,0.613
"facebook, near a buy point last week, faces a different technical test today https://t.co/c72llmpinm $fb $aapl $nflx https://t.co/fpfbytypuy",0.102
"$sbux down pm, from $db downgrade.. pt cut from 70 to $64",-0.531
$ebay  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgu0ybxeze,-0.441
breaking 52 week highs timing looks great now $ahs $baby $post $ige $irdm $ewbc $phys $ulta $vnet $biv https://t.co/11k8jzuzmu,0.419
$tsla recalling pretty much every single model x @cnnbrk got to short that even at work you jump in money trade,-0.378
$aapl high of day just hit. back at it tomorrow.,0.394
ouch looks like $tsla shorts getting skinned again,0.518
"qualcomm: 10% dividend increase rewards patient investors, the future looks bright https://t.co/tjjvpqhhqd $qcom",0.484
facebook $fb received a buy rating from wells fargo 5-star analyst peter stabler (wells fargo) https://t.co/jnb4c9vdcu,0.456
$tsla wish had my puts back but see if we can find support around 243.39 and pop up so that i can get back in. https://t.co/hfklq3wobv,-0.485
citrix systems inc $ctxs position increased by mizuho… https://t.co/v7lkq08flp @sharestocknews,0.529
"notable gainers among liquid option names this morning include $stx (+7.0%), $nem (+4.6%), $wdc (+4.2%), $x (+4.1%), and $gme (+3.4%),",0.513
is #facebook's user engagement falling? https://t.co/tqmmt7n16x $fb https://t.co/sedqrwgdkt,-0.39
royal mail chairman donald brydon set to step down,-0.374
stakes high for astrazeneca heart drug facing tough competition,-0.24
update 1-dairy crest loses a third of morrisons milk contract,-0.161
insight hires aviva's david hillier for multi-asset team,0.137
primark racks up a happy christmas after strong sales,0.704
update 1-pearson expects to grow this year after solid end to 2014,0.446
tesco sells blinkbox and broadband service to talktalk,0.136
unilever profit rises despite sales slump in china,0.213
tesco leads leap in ftse 100; marks & spencer drops,0.389
royal dutch shell profit rises; dividend up 4%,0.65
morning agenda: shire's deal for nps,0.195
carnival corporation and china merchants group sign memo of understanding ...,0.119
teva: fda approves generic version of astrazeneca heartburn drug,0.242
passengers rise at easyjet and aer lingus,0.329
tesco abandons video-streaming ambitions in blinkbox sale,-0.195
"fda approves nps drug, in move validating shire takeover deal",0.332
ocwen reaches settlement with california regulator,0.171
morrisons faces festive sales test,-0.113
tesco share price dips as blinkbox books closes ending supermarket's digital ...,-0.357
shire to buy nps for $5.2 billion to boost rare disease drugs,0.235
astrazeneca's medimmune inks licensing deal with omnis pharmaceuticals,0.295
fda approves shire's vyvanse for binge-eating disorder,0.291
companies thetrainline.com announces arrival of london ipo,0.245
breakingviews: iag can pay more for aer lingus,0.12
tesco share price jumps as q3 sales top estimates,0.719
crh's concrete bid for holcim lafarge assets,0.282
persimmon share price climbs on 23% rise in full-year revenue,0.975
ruling sets lower limit on potential fine for bp,-0.261
reed elsevier share price slides on underwhelming full-year results,-0.526
update 1-meggitt reiterates annual outlook after tough 2014,0.021
slump in weir leads ftse down from record high,-0.827
bunzl lifts dividend again as acquisitions continue to boost profits,0.401
refile-update 4-britain's lloyds to pay first dividend since rescue,0.522
glaxosmithkline set to complete $20 billion novartis asset swap next week,0.189
meggitt share price tumbles as profit falls in 'challenging year',-0.854
analyst views: astrazeneca shares have seen recent volatility; what will 2015 ...,-0.12
arm royalties accelerate as smartphone market regains strength,0.571
conagra names former hillshire farms ceo connolly to top post,0.101
bg group appoints new ceo one month early,0.069
"glencore cuts 2015 budget, plans to divest from lonmin",-0.314
u.s. debt lures schroders as ecb depresses rates,0.048
tullow oil suspends dividend amid oil price fall,-0.498
"oil majors like royal dutch shell, chevron, bp fail to find reserves to counter ...",-0.402
standard chartered lags on capital worries,-0.358
standard life share price: insurer buys advice firm pearson jones,0.364
tesco closes in on new chairman with dixons carphone's john allan in the frame,0.129
millercoors delivers 2.9% underlying net income growth for 2014,0.495
rbs will reportedly appoint howard davies as its next chairman,0.089
hsbc hit by fresh details of tax evasion claims,-0.594
relief for lewis as tesco sees sales grow for first time in a year,0.42
morrisons finance chief to fill gap as ceo leaves early,-0.114
"update: persimmon profit up strongly, outlook positive",0.937
trlpc - crh backs lafarge holcim asset buy with 6.5 bln euro bridge loan,0.365
tesco shareholders back itv head for chairman,0.139
"buffett's berkshire builds deere stake, dumps exxon",0.316
aviva fined $27 million by u.k. regulator over fee failings,-0.675
astrazeneca's patent on asthma drug invalidated by us court,-0.656
rolls-royce to ensure compliance after petrobras bribery report,-0.075
whitbread share price climbs on q4 sales growth,0.513
warren buffett defends berkshire hathaway's conglomerate structure,0.144
